Idade,RendaAnual,NumeroCompras,ComprouRecente,CategoriaCliente
56,54674,10,Sim,Premium
69,55854,23,Não,Premium
46,66271,12,Não,Premium
32,93688,17,Não,Regular
60,58518,8,Não,Premium
25,30267,11,Não,Premium
38,110825,29,Sim,Premium
56,21062,3,Não,Regular
36,70448,27,Não,Regular
40,115462,6,Sim,Premium
28,26229,9,Não,Premium
28,76793,6,Sim,Premium
41,67915,9,Não,Regular
53,24632,7,Sim,Regular
57,23596,9,Sim,Regular
41,26168,18,Não,Premium
20,27561,12,Não,Regular
39,93794,8,Não,Premium
19,102152,8,Sim,Premium
41,46734,18,Sim,Premium
61,26371,28,Sim,Regular
47,46069,20,Não,Premium
55,99905,15,Sim,Regular
19,32910,27,Sim,Regular
38,93479,7,Não,Premium
50,97735,11,Sim,Premium
29,101264,20,Sim,Regular
39,43275,16,Não,Premium
61,92274,4,Sim,Regular
42,101449,6,Não,Premium
66,80004,26,Não,Regular
44,82981,22,Não,Regular
59,104659,26,Não,Regular
45,74553,3,Não,Regular
33,68447,9,Sim,Premium
32,54529,28,Sim,Premium
64,95703,10,Não,Regular
68,96090,14,Não,Regular
61,37260,11,Sim,Premium
69,23812,18,Não,Premium
20,48024,22,Não,Premium
54,78656,12,Não,Premium
68,47285,23,Sim,Premium
24,112436,12,Sim,Premium
38,21605,13,Não,Regular
26,91158,25,Não,Premium
56,92303,13,Sim,Premium
35,47139,19,Sim,Regular
21,97149,26,Não,Premium
42,76138,19,Não,Premium
31,96125,23,Sim,Premium
67,33918,14,Sim,Premium
26,105655,4,Sim,Premium
43,47446,13,Não,Regular
19,33046,8,Sim,Premium
37,44818,29,Não,Regular
45,24324,23,Sim,Regular
64,96323,21,Sim,Premium
24,29111,23,Sim,Regular
61,58110,19,Sim,Premium
25,36389,12,Não,Regular
64,61427,18,Não,Regular
52,99579,6,Sim,Premium
31,48746,18,Não,Premium
34,107886,19,Sim,Premium
53,20117,22,Sim,Premium
67,104471,5,Sim,Premium
57,33234,24,Sim,Regular
21,73441,9,Não,Regular
19,20846,27,Sim,Regular
23,30954,3,Sim,Regular
59,99239,28,Não,Regular
21,66514,10,Sim,Regular
46,108236,19,Sim,Regular
35,117579,3,Sim,Premium
43,26469,29,Não,Premium
61,50105,29,Sim,Regular
51,62101,22,Não,Regular
27,84323,15,Sim,Premium
53,111922,1,Sim,Premium
31,78067,7,Não,Premium
48,69376,12,Sim,Premium
65,65587,17,Sim,Regular
32,56976,21,Não,Premium
25,87584,26,Não,Regular
31,98477,29,Não,Regular
40,62533,24,Não,Regular
57,21828,20,Não,Premium
38,21917,5,Sim,Premium
33,40618,4,Não,Regular
62,52254,28,Sim,Regular
35,67362,12,Sim,Regular
64,40128,20,Sim,Premium
41,79383,28,Não,Regular
43,85545,24,Não,Premium
42,102180,18,Sim,Regular
62,107958,17,Não,Regular
58,29865,19,Não,Regular
46,22219,9,Não,Premium
32,59809,4,Não,Premium
62,25287,26,Sim,Regular
18,54387,21,Sim,Premium
42,28512,2,Não,Regular
24,21342,4,Sim,Premium
26,83076,2,Não,Premium
41,39216,15,Não,Premium
18,113070,2,Sim,Regular
61,99767,4,Sim,Premium
25,117829,6,Sim,Premium
41,46614,7,Não,Regular
28,56258,10,Sim,Regular
68,113789,19,Não,Regular
34,62078,19,Sim,Regular
25,103524,26,Sim,Premium
52,116573,22,Não,Premium
52,32219,29,Não,Premium
50,20235,12,Não,Premium
22,62929,3,Não,Premium
59,87444,13,Não,Regular
56,28567,18,Não,Premium
58,90792,8,Não,Premium
45,85441,21,Não,Premium
24,104555,15,Sim,Regular
